,id,username,date,like
0,1378502235013832707,radioelshinta,2021-04-04,@sumiwijayanti
1,1377540484906713095,radioelshinta,2021-04-01,@Samkafi1
2,1377535539411226628,radioelshinta,2021-04-01,@alambaskoroke4
3,1377479187099910149,radioelshinta,2021-04-01,@iemanzkw
5,1376907472477167616,radioelshinta,2021-03-30,@kopibubukhitam
6,1376906686275850241,radioelshinta,2021-03-30,@kopibubukhitam
7,1376757679964647426,radioelshinta,2021-03-30,@samuel_atika
10,1376613881326407680,radioelshinta,2021-03-30,@RoadRace2020
11,1376259043438645248,radioelshinta,2021-03-29,@chris_onandoff
14,1375987719587827713,radioelshinta,2021-03-28,@TiiBii
15,1375325818990198788,radioelshinta,2021-03-26,@DedeHadiana14
16,1375277072394899458,radioelshinta,2021-03-26,@alambaskoroke4
18,1375161813654904835,radioelshinta,2021-03-26,@Dewi65582978
19,1375095030973489155,radioelshinta,2021-03-25,@l3na_l3na
20,1375059987353886720,radioelshinta,2021-03-25,@Sulastr28601028
21,1374993644449529860,radioelshinta,2021-03-25,@JogedB
23,1374789359266795525,radioelshinta,2021-03-25,@HumalaPs
25,1374562329547788291,radioelshinta,2021-03-24,@bindunada
27,1374028119552630790,radioelshinta,2021-03-22,@senjarini3
28,1373914489742004230,radioelshinta,2021-03-22,@singgihk8
31,1373688355011981314,radioelshinta,2021-03-22,@Rai00614282
32,1373574055824084993,radioelshinta,2021-03-21,@konveksitas7
33,1373572678271963139,radioelshinta,2021-03-21,@adimas_markum
34,1373443372984070147,radioelshinta,2021-03-21,@l3na_l3na
36,1373177854188396546,radioelshinta,2021-03-20,@arifkasiman
37,1373176252463419394,radioelshinta,2021-03-20,@ardian1972
38,1373093903675531264,radioelshinta,2021-03-20,@ngedotcom1
39,1373093863028449281,radioelshinta,2021-03-20,@ngedotcom1
40,1373087350935359490,radioelshinta,2021-03-20,@ChaniagoMisya
41,1373053067524853761,radioelshinta,2021-03-20,@alambaskoroke4
42,1373028028318502912,radioelshinta,2021-03-20,@Sjteddy1
43,1372881425100275717,radioelshinta,2021-03-19,@rabkalinad
46,1372036601715462147,radioelshinta,2021-03-17,@bindunada
47,1371987681161318401,radioelshinta,2021-03-17,@NursaeMila82
50,1371828445559156738,radioelshinta,2021-03-16,@samoederaharapa
51,1371805597700562946,radioelshinta,2021-03-16,@Kribbo3
52,1371697895737417728,radioelshinta,2021-03-16,@PraptoPinardi2
55,1371650195037978627,radioelshinta,2021-03-16,@alambaskoroke4
56,1371640559207542784,radioelshinta,2021-03-16,@rizaktirahma13
57,1371640527263703042,radioelshinta,2021-03-16,@rizaktirahma13
58,1371640494707544064,radioelshinta,2021-03-16,@pagimenderai
61,1371293000744140802,radioelshinta,2021-03-15,@Wens47136597
63,1371140299267874818,radioelshinta,2021-03-14,@Fadlipenyair
64,1370911725935988736,radioelshinta,2021-03-14,@s_kedumpaga
65,1370692683262390274,radioelshinta,2021-03-13,@AnakBabeGw
66,1370677337444941826,radioelshinta,2021-03-13,@AnakBabeGw
67,1370479208514789376,radioelshinta,2021-03-13,@LukeSilalahi
68,1370432951008129031,radioelshinta,2021-03-13,@JulyCo18
69,1370181279161880580,radioelshinta,2021-03-12,@AgusSal38231282
70,1370169302783987712,radioelshinta,2021-03-12,@Aa_Goens
71,1370088383708553218,radioelshinta,2021-03-12,@kopibubukhitam
72,1369892827686039552,radioelshinta,2021-03-11,@fajaranugerah
73,1369746883120422913,radioelshinta,2021-03-11,@menaramslestari
74,1369743612141924354,radioelshinta,2021-03-11,@menaramslestari
75,1369602619803541504,radioelshinta,2021-03-10,@branemark1
77,1369364691332571138,radioelshinta,2021-03-10,@ellynurar
78,1369259940787879943,radioelshinta,2021-03-09,@DedeHadiana14
79,1369190251630010369,radioelshinta,2021-03-09,@mulyadiadi1965
80,1369078870003961859,radioelshinta,2021-03-09,@rudyd3li
81,1369003736245313536,radioelshinta,2021-03-09,@suprapto_tommy
82,1368947640105271298,radioelshinta,2021-03-08,@rongs_rong
85,1368791742644768771,radioelshinta,2021-03-08,@AhmadJapra7
86,1368770873398726656,radioelshinta,2021-03-08,@Hanofik
88,1368753216440078342,radioelshinta,2021-03-08,@FarhanF83325726
89,1368735217360400385,radioelshinta,2021-03-08,@FarhanF83325726
90,1368556539573919745,radioelshinta,2021-03-07,@Ap11583778
91,1368546909124653058,radioelshinta,2021-03-07,@Sjteddy1
92,1368445985567903747,radioelshinta,2021-03-07,@dby304
93,1368208176676368388,radioelshinta,2021-03-06,@Ismu2872
94,1368047463353909251,radioelshinta,2021-03-06,@Hafidh_M
95,1368014902464421890,radioelshinta,2021-03-06,@yukcube6
96,1367698927508619266,radioelshinta,2021-03-05,@humarihidayat
97,1367545376731844608,radioelshinta,2021-03-05,@pverlian
98,1367469859022376963,radioelshinta,2021-03-04,@TeEn_Irfan
100,1366951761504690178,radioelshinta,2021-03-03,@ellynurar
102,1366723768459042817,radioelshinta,2021-03-02,@bowo13v
103,1366673231524995074,radioelshinta,2021-03-02,@MutajaliAbdul
105,1366628209148633088,radioelshinta,2021-03-02,@Koramil03GP
106,1366534802992603141,radioelshinta,2021-03-02,@SoniMsi07
107,1366529603238383622,radioelshinta,2021-03-02,@kandardini
108,1366515842834309122,radioelshinta,2021-03-02,@rainy_rainyta08
110,1366322726793662465,radioelshinta,2021-03-01,@johan_teruna
112,1366229189012058113,radioelshinta,2021-03-01,@BeneEuph
113,1366228470234161156,radioelshinta,2021-03-01,@FitRadioBandung
114,1366215994151108609,radioelshinta,2021-03-01,@musels074
115,1366110924885516291,radioelshinta,2021-03-01,@Rey28649173
116,1366089534354558977,radioelshinta,2021-03-01,@mygracepa
117,1365959550696783874,radioelshinta,2021-02-28,@justinnkri
118,1365917257327517696,radioelshinta,2021-02-28,@ambargedon
121,1365807738702336001,radioelshinta,2021-02-28,@TongSate
122,1365807590073016322,radioelshinta,2021-02-28,@teberlianna
123,1365598365552025600,radioelshinta,2021-02-27,@BoediPoenya86
124,1365362974408331273,radioelshinta,2021-02-27,@Ap11583778
125,1365327454563307520,radioelshinta,2021-02-26,@ganafmargi
127,1365281230686588928,radioelshinta,2021-02-26,@LukeSilalahi
128,1365181464283783172,radioelshinta,2021-02-26,@rezzabellawww
129,1364926310464647172,radioelshinta,2021-02-25,@FarhanF83325726
131,1364812043035926530,radioelshinta,2021-02-25,@GodlyDeny
132,1364743093061255169,radioelshinta,2021-02-25,@ipoksamidub
133,1364737908419174400,radioelshinta,2021-02-25,@uyye_sitok
134,1364408383772626952,radioelshinta,2021-02-24,@Agus_chigab
135,1364388410903859200,radioelshinta,2021-02-24,@GALJARO
136,1364380588728229889,radioelshinta,2021-02-24,@lovelyrindie
137,1364367115579318275,radioelshinta,2021-02-24,@rizaktirahma13
138,1364123440626561027,radioelshinta,2021-02-23,@Lamolam06704729
139,1364081366808203264,radioelshinta,2021-02-23,@Wijoyono_sawal
140,1364057474790092803,radioelshinta,2021-02-23,@ZatHara358
141,1364047139374960645,radioelshinta,2021-02-23,@yosDwiyono
142,1364015158616461317,radioelshinta,2021-02-23,@elshintamedan
143,1363701248931717126,radioelshinta,2021-02-22,@Anakjal03204821
144,1363660769842188288,radioelshinta,2021-02-22,@RizkiAftari
145,1363571694443626498,radioelshinta,2021-02-22,@Anakjal03204821
146,1363557851965378574,radioelshinta,2021-02-22,@ArifHidayatMA1
148,1362811713251254275,radioelshinta,2021-02-20,@margo_siswadi
149,1362797211998855168,radioelshinta,2021-02-19,@alambaskoroke4
150,1362606552679546883,radioelshinta,2021-02-19,@RahmatWisnu6
152,1362194753761157125,radioelshinta,2021-02-18,@Hermawa234
153,1362191368475447296,radioelshinta,2021-02-18,@FitRadioBandung
154,1362179588260995073,radioelshinta,2021-02-18,@KadrunD
155,1362168195340259328,radioelshinta,2021-02-18,@hadycrbn
156,1362164671961300992,radioelshinta,2021-02-18,@AntomyBaba
157,1362128433099210757,radioelshinta,2021-02-18,@Arjuna_luna
158,1362030860472446979,radioelshinta,2021-02-17,@meeawulan
160,1361932030359990276,radioelshinta,2021-02-17,@Mochalisafii3
161,1361891790048034817,radioelshinta,2021-02-17,@rizaktirahma13
162,1361883643400974339,radioelshinta,2021-02-17,@seftia_13
163,1361750945911042048,radioelshinta,2021-02-17,@angelNtara
