,id,username,date,retweet
0,1378502235013832707,radioelshinta,2021-04-04,@ROMDHONIWK
1,1377540484906713095,radioelshinta,2021-04-01,@ElshintaTegal_
3,1377479187099910149,radioelshinta,2021-04-01,@iemanzkw
5,1376907472477167616,radioelshinta,2021-03-30,@ElshintaTegal_
7,1376757679964647426,radioelshinta,2021-03-30,@IningNashin
8,1376702854006771713,radioelshinta,2021-03-30,@ElshintaTegal_
9,1376680060380270594,radioelshinta,2021-03-30,@FitRadioBandung
10,1376613881326407680,radioelshinta,2021-03-30,@RoadRace2020
14,1375987719587827713,radioelshinta,2021-03-28,@Alva47831808
15,1375325818990198788,radioelshinta,2021-03-26,@ElshintaTegal_
16,1375277072394899458,radioelshinta,2021-03-26,@AntonPr12594871
17,1375276905369235458,radioelshinta,2021-03-26,@AntonPr12594871
18,1375161813654904835,radioelshinta,2021-03-26,@ElshintaTegal_
19,1375095030973489155,radioelshinta,2021-03-25,@alambaskoroke4
21,1374993644449529860,radioelshinta,2021-03-25,@Dompe87419913
23,1374789359266795525,radioelshinta,2021-03-25,@kanye_south07
26,1374556584668372997,radioelshinta,2021-03-24,@Sitoneizer
27,1374028119552630790,radioelshinta,2021-03-22,@vrishaba05
32,1373574055824084993,radioelshinta,2021-03-21,@Alva47831808
34,1373443372984070147,radioelshinta,2021-03-21,@ElshintaTegal_
35,1373201590794944512,radioelshinta,2021-03-20,@ElshintaTegal_
36,1373177854188396546,radioelshinta,2021-03-20,@ElshintaTegal_
37,1373176252463419394,radioelshinta,2021-03-20,@ElshintaTegal_
38,1373093903675531264,radioelshinta,2021-03-20,@MissRevolusi
40,1373087350935359490,radioelshinta,2021-03-20,@yusufgunawan
43,1372881425100275717,radioelshinta,2021-03-19,@revobiru
46,1372036601715462147,radioelshinta,2021-03-17,@3ksi5
47,1371987681161318401,radioelshinta,2021-03-17,@panggil_iq
50,1371828445559156738,radioelshinta,2021-03-16,@IngatHariHisab
51,1371805597700562946,radioelshinta,2021-03-16,@Muslich_Leva
61,1371293000744140802,radioelshinta,2021-03-15,@YosSyukur1
64,1370911725935988736,radioelshinta,2021-03-14,@ElshintaTegal_
65,1370692683262390274,radioelshinta,2021-03-13,@AnakBabeGw
66,1370677337444941826,radioelshinta,2021-03-13,@AnakBabeGw
67,1370479208514789376,radioelshinta,2021-03-13,@marcelinogmail5
68,1370432951008129031,radioelshinta,2021-03-13,@aripinkturtle
70,1370169302783987712,radioelshinta,2021-03-12,@Aa_Goens
72,1369892827686039552,radioelshinta,2021-03-11,@percayaNgl
73,1369746883120422913,radioelshinta,2021-03-11,@Sjteddy1
74,1369743612141924354,radioelshinta,2021-03-11,@pajajaran2000
75,1369602619803541504,radioelshinta,2021-03-10,@Ignastherry
77,1369364691332571138,radioelshinta,2021-03-10,@ElshintaTegal_
80,1369078870003961859,radioelshinta,2021-03-09,@ZulkifleNur
81,1369003736245313536,radioelshinta,2021-03-09,@FlorianHijau
85,1368791742644768771,radioelshinta,2021-03-08,@ArnandoFernando
86,1368770873398726656,radioelshinta,2021-03-08,@FarhanF83325726
88,1368753216440078342,radioelshinta,2021-03-08,@FarhanF83325726
89,1368735217360400385,radioelshinta,2021-03-08,@FarhanF83325726
92,1368445985567903747,radioelshinta,2021-03-07,@ElshintaTegal_
93,1368208176676368388,radioelshinta,2021-03-06,@ibnulfadli
96,1367698927508619266,radioelshinta,2021-03-05,@ElshintaTegal_
100,1366951761504690178,radioelshinta,2021-03-03,@wanweimemori
102,1366723768459042817,radioelshinta,2021-03-02,@BudiPra87870630
103,1366673231524995074,radioelshinta,2021-03-02,@sumantopraja
106,1366534802992603141,radioelshinta,2021-03-02,@Irtosomonasky
107,1366529603238383622,radioelshinta,2021-03-02,@sumantopraja
108,1366515842834309122,radioelshinta,2021-03-02,@rainy_rainyta08
110,1366322726793662465,radioelshinta,2021-03-01,@mus_els
113,1366228470234161156,radioelshinta,2021-03-01,@FitRadioBandung
114,1366215994151108609,radioelshinta,2021-03-01,@mus_els
115,1366110924885516291,radioelshinta,2021-03-01,@SugavSumina
118,1365917257327517696,radioelshinta,2021-02-28,@percayaNgl
161,1361891790048034817,radioelshinta,2021-02-17,@ElshintaTegal_
166,1361724521711996931,radioelshinta,2021-02-17,@venacavatoapex
169,1361434611260170241,radioelshinta,2021-02-16,@OmarTara_2
172,1360973122942300161,radioelshinta,2021-02-14,@MuhIqbals5
173,1360805307304144896,radioelshinta,2021-02-14,@ElshintaTegal_
174,1360794580048744450,radioelshinta,2021-02-14,@ElshintaTegal_
177,1360758938241691648,radioelshinta,2021-02-14,@ElshintaTegal_
178,1360743762784178179,radioelshinta,2021-02-14,@Teguh56Th
179,1360662523905626114,radioelshinta,2021-02-14,@sumantopraja
182,1360413609805766656,radioelshinta,2021-02-13,@ElshintaTegal_
183,1360413549193928704,radioelshinta,2021-02-13,@ElshintaTegal_
184,1360413479799148546,radioelshinta,2021-02-13,@ElshintaTegal_
185,1360413349633134594,radioelshinta,2021-02-13,@ElshintaTegal_
186,1360402580027842560,radioelshinta,2021-02-13,@ElshintaTegal_
188,1359959139754119169,radioelshinta,2021-02-12,@ProkopimMabar
189,1359793074642120704,radioelshinta,2021-02-11,@rizhamsulaiman
190,1359722949725491203,radioelshinta,2021-02-11,@AJazuli5
191,1359578883905835012,radioelshinta,2021-02-11,@ElshintaTegal_
192,1359526790289448963,radioelshinta,2021-02-10,@dhyaDhya
194,1359329167439921153,radioelshinta,2021-02-10,@YTejamulia
195,1358470436867088384,radioelshinta,2021-02-08,@dabenone2
197,1358342948551753730,radioelshinta,2021-02-07,@AnakBabeGw
199,1357744277070123008,radioelshinta,2021-02-06,@Mrsdiaulia
200,1357131518188027905,radioelshinta,2021-02-04,@akoemala
201,1357003008278556673,radioelshinta,2021-02-03,@bkngroo
202,1356740818103529472,radioelshinta,2021-02-03,@Sawalinaaa
203,1356453994617397253,radioelshinta,2021-02-02,@sulistiawan_rd
205,1356206084130672643,radioelshinta,2021-02-01,@Shofiania10
207,1356107168601100296,radioelshinta,2021-02-01,@mozarellabread
212,1356085267845705729,radioelshinta,2021-02-01,@Sjteddy1
213,1355846832518090755,radioelshinta,2021-01-31,@sayfudinendo
215,1355703305247154176,radioelshinta,2021-01-31,@axamanis
216,1355599159911469066,radioelshinta,2021-01-31,@SugavSumina
217,1355583362824425475,radioelshinta,2021-01-31,@ElshintaTegal_
219,1355348890350829574,radioelshinta,2021-01-30,@BagusRTNews
221,1355079006677159947,radioelshinta,2021-01-29,@Maria_Zadina
222,1354992838518292482,radioelshinta,2021-01-29,@penguasahati
224,1354974015958306824,radioelshinta,2021-01-29,@ElshintaTegal_
225,1354911377375170561,radioelshinta,2021-01-29,@Muslich_Leva
226,1354759287201959936,radioelshinta,2021-01-28,@dzarwothelegend
229,1354621764098170891,radioelshinta,2021-01-28,@turunBuyutKarti
231,1354454441383010305,radioelshinta,2021-01-27,@Ratu_Sayangi
233,1354348260027027458,radioelshinta,2021-01-27,@AnakBabeGw
234,1354281358625959936,radioelshinta,2021-01-27,@shy_1105
237,1353984775980085249,radioelshinta,2021-01-26,@Info_dari_Anda
238,1353588401795067904,radioelshinta,2021-01-25,@kang_tarom
241,1353530683428200448,radioelshinta,2021-01-25,@Sjteddy1
244,1353313503071793155,radioelshinta,2021-01-24,@Bunshinkai
245,1353295214719320064,radioelshinta,2021-01-24,@NegaraKesatuan
246,1353281443984678912,radioelshinta,2021-01-24,@ElshintaTegal_
247,1353266249749254144,radioelshinta,2021-01-24,@FMKBR1
248,1353213372347518976,radioelshinta,2021-01-24,@yunusbara71
250,1353015967991828480,radioelshinta,2021-01-23,@adelinguist
251,1352932700848492545,radioelshinta,2021-01-23,@eswirosudiro
252,1352902065127710720,radioelshinta,2021-01-23,@putrimajapahit3
256,1352592227671785472,radioelshinta,2021-01-22,@GoTotheJek
257,1352469621870260224,radioelshinta,2021-01-22,@TriyonoInfect
258,1352270477335531523,radioelshinta,2021-01-21,@shintaeffendi
260,1352182396230139904,radioelshinta,2021-01-21,@AnakBabeGw
261,1352176981173960704,radioelshinta,2021-01-21,@AnakBabeGw
264,1351896009274650632,radioelshinta,2021-01-20,@ibudari3R
266,1351759654854881283,radioelshinta,2021-01-20,@ance_top
267,1351730505603977216,radioelshinta,2021-01-20,@ElshintaTegal_
268,1351706351362166787,radioelshinta,2021-01-20,@ElshintaTegal_
273,1350951891069493250,radioelshinta,2021-01-18,@Gunawan_SE2230
274,1350937499204521996,radioelshinta,2021-01-18,@adityodigja
275,1350809748526952449,radioelshinta,2021-01-17,@ghietmawaddah
277,1350749062857781250,radioelshinta,2021-01-17,@moseno
278,1350632859208278019,radioelshinta,2021-01-17,@dimassuryatmojo
279,1350615884474159104,radioelshinta,2021-01-17,@ElshintaTegal_
281,1350433785649643521,radioelshinta,2021-01-16,@evereeze
282,1350369122211647491,radioelshinta,2021-01-16,@munfarikhaaas
284,1350183525308223493,radioelshinta,2021-01-16,@sweet_pipit
286,1349975037898461186,radioelshinta,2021-01-15,@B_AG11
289,1349892373568913408,radioelshinta,2021-01-15,@atheje
291,1349785854823313409,radioelshinta,2021-01-15,@ElshintaTegal_
292,1349703619453456384,radioelshinta,2021-01-14,@FitRadioBandung
293,1349676864499974144,radioelshinta,2021-01-14,@AnakBabeGw
294,1349658491674263553,radioelshinta,2021-01-14,@bondanboryaltra
297,1349629826315894785,radioelshinta,2021-01-14,@_fahmi19
298,1349607296649764864,radioelshinta,2021-01-14,@AnakBabeGw
300,1349572366779617280,radioelshinta,2021-01-14,@teplokusumaa
304,1349351551924539393,radioelshinta,2021-01-13,@alambaskoroke4
309,1349274441880985600,radioelshinta,2021-01-13,@sutrisnoam
310,1349270664176308225,radioelshinta,2021-01-13,@FitRadioBandung
311,1349267696580403202,radioelshinta,2021-01-13,@EdiBask10522335
314,1349217656625221632,radioelshinta,2021-01-13,@fadmala9
315,1349212410800791552,radioelshinta,2021-01-13,@ar_dentha
319,1349180901448577026,radioelshinta,2021-01-13,@senengangue
320,1349168561160245250,radioelshinta,2021-01-13,@JawaraRobi
322,1349165832820060160,radioelshinta,2021-01-13,@ElshintaTegal_
326,1348958150821605377,radioelshinta,2021-01-12,@biofarmaID
368,1346776563358994433,radioelshinta,2021-01-06,@setiawan1710
371,1346724451056979969,radioelshinta,2021-01-06,@lukman141070
373,1346702276128169984,radioelshinta,2021-01-06,@yswandi
376,1346631425185890304,radioelshinta,2021-01-06,@ElshintaTegal_
377,1346624475270266880,radioelshinta,2021-01-06,@osmarbinter
378,1346621506172846080,radioelshinta,2021-01-06,@ayuyayuyayuya
380,1346536008418951168,radioelshinta,2021-01-06,@akunsudi
382,1346374992133410817,radioelshinta,2021-01-05,@h4850ro
383,1346326537096708096,radioelshinta,2021-01-05,@AnakBabeGw
384,1346312654650974208,radioelshinta,2021-01-05,@AnakBabeGw
386,1346250130471620610,radioelshinta,2021-01-05,@ElshintaTegal_
389,1346022567396556800,radioelshinta,2021-01-04,@BETAWI_KOTA
390,1345957076556603393,radioelshinta,2021-01-04,@RECOVERADIO
393,1345918259095248897,radioelshinta,2021-01-04,@JawaraRobi
397,1345669237327630336,radioelshinta,2021-01-03,@BobyWibs
398,1345271445459324930,radioelshinta,2021-01-02,@mannyuns
402,1344922775836786692,radioelshinta,2021-01-01,@Herrreza
403,1344914426747441158,radioelshinta,2021-01-01,@FarhanF83325726
404,1344817286335533056,radioelshinta,2021-01-01,@redywanjames
405,1344622905716445184,radioelshinta,2020-12-31,@ElshintaTegal_
407,1344567608318672898,radioelshinta,2020-12-31,@YulidaNing
408,1344549327985754112,radioelshinta,2020-12-31,@FitRadioBandung
409,1344530243998994433,radioelshinta,2020-12-31,@Dedeh75138272
410,1344520677907263488,radioelshinta,2020-12-31,@elinariyani
412,1344518848981078016,radioelshinta,2020-12-31,@AshaaMW
413,1344510750711169024,radioelshinta,2020-12-31,@Supriyanto_Dei
415,1344206073947848705,radioelshinta,2020-12-30,@AhmadJapra7
416,1344159065111285762,radioelshinta,2020-12-30,@T14503NG
417,1343923573061107717,radioelshinta,2020-12-29,@meg_1916
418,1343912624388333573,radioelshinta,2020-12-29,@meg_1916
419,1343701706605953025,radioelshinta,2020-12-29,@IningNashin
420,1343570114004729859,radioelshinta,2020-12-28,@FarhanF83325726
422,1343448090070589440,radioelshinta,2020-12-28,@rizkipradipta
424,1343203107409338369,radioelshinta,2020-12-27,@ElshintaTegal_
425,1343119246004404225,radioelshinta,2020-12-27,@intanalyze
426,1343088653933760512,radioelshinta,2020-12-27,@k035
427,1342787575728152577,radioelshinta,2020-12-26,@intanalyze
433,1340465770535370753,radioelshinta,2020-12-20,@ElshintaTegal_
438,1339850956108787712,radioelshinta,2020-12-18,@bagaas_hermawan
439,1339560635751751682,radioelshinta,2020-12-17,@marcelinogmail5
444,1339345032063537152,radioelshinta,2020-12-17,@JoenMaristo
445,1339317179641053185,radioelshinta,2020-12-17,@ElshintaTegal_
446,1339271813990211584,radioelshinta,2020-12-17,@ElshintaTegal_
448,1339240529758842880,radioelshinta,2020-12-16,@ElshintaTegal_
449,1339234950600564738,radioelshinta,2020-12-16,@diancurin
451,1339119883167002635,radioelshinta,2020-12-16,@ElshintaTegal_
452,1338999961741000704,radioelshinta,2020-12-16,@budiagani
462,1338270862445740032,radioelshinta,2020-12-14,@Nkaryadi
465,1337631093407694851,radioelshinta,2020-12-12,@rendroko
470,1337417911200141315,radioelshinta,2020-12-11,@FarhanF83325726
479,1337031270660939776,radioelshinta,2020-12-10,@arif_tenanan
